,CNPJ_Gestor,Nome_Gestor
129,17054901000169,bari gestao de recursos ltda
130,17232615000146,inx administradora e gestora de recursos ltda
131,17254708000171,solis investimentos ltda.
132,17415310000170,bresco investimentos e gestao ltda
133,17482086000139,mogno capital investimentos ltda.
134,17707098000114,quadra gestao de recursos s.a
135,17839430000102,sequoia fundos de investimento ltda.
136,17967948000113,ulbrex asset management ltda
137,18038439000179,m8 partners gestora de recursos ltda.
138,18259351000187,rbr gestao de recursos ltda
139,18313996000150,tmf brasil servicos de administracao de fundos ltda
140,18606232000153,reag asset management ltda
141,18945670000146,inter distribuidora de titulos e valores mobiliarios ltda
142,18966436000103,cartesia investimentos e gestao de recursos ltda
143,19037127000103,cadence gestora de recursos ltda
144,19408687000127,ccf investimentos ltda
145,19807499000171,iron capital gestao de recursos ltda.
146,20105116000100,"goodman consultoria, participacoes e administracao de valores mobiliarios ltda."
147,20445967000194,legatus gestora de recursos ltda
148,21008985000171,leste credit gestao de recursos ltda
149,21046086000163,id gestora e administradora de recursos ltda
150,21163346000180,scai gestora de recursos ltda
151,21180163000173,mam asset management gestora de recursos ltda
152,21543857000128,vela investimentos e consultoria ltda
153,21747959000165,barzel properties gestora de recursos ltda.
154,21950366000100,alianza gestao de recursos ltda
155,22119959000183,genial gestao ltda.
156,22134302000195,lakewood gestao de recursos ltda.
157,22610500000188,vortx distribuidora de titulos e valores mobiliarios ltda
158,22828968000143,rec gestao de recursos s.a.
159,22982196000108,bluecap gestao de recursos ltda.
160,23025053000162,brl trust investimentos ltda
161,23398913000103,faria lima capital ltda
162,23863529000134,reag administradora de recursos ltda
163,24503059000160,cix capital gestao de ativos ltda
164,24515907000151,atrio gestora de ativos ltda
165,25287778000154,tellus investimentos e consultoria ltda
166,25370971000154,enforce gestao de ativos s.a.
167,26002371000104,rio bravo asset management participacoes s.a.
168,26032552000175,jacaranda capital e gestao ltda
169,26843225000101,hedge investments real estate gestao de recursos ltda.
170,27028424000110,iridium gestao de recursos ltda.
171,27445498000152,astor gestao de recursos ltda
172,27652684000162,genial investimentos corretora de valores mobiliarios s.a.
173,27690986000125,arc capital ltda.
174,27946859000144,ggp gestao de patrimonio ltda.
175,28097963000174,aram capital consultoria de valores mobiliarios ltda
176,28156057000101,banestes distribuidora de titulos e valores mobiliarios s.a.
177,28264093000180,smart agro investimentos ltda
178,28363263000184,devant asset investimentos ltda.
179,28529686000121,wnt gestora de recursos ltda.
180,29036872000191,sueste capital gestao de recursos ltda.
181,29738952000199,serpros fundo multipatrocinado
182,29976481000157,catuai gestora de recursos ltda.
183,30032993000144,housi gestao patrimonial s.a.
184,30186560000143,habitat capital partners asset management ltda.
185,30406191000157,v&b gestao de patrimonio ltda
186,30418084000149,exante asset management ltda
187,30822936000169,bb gestao de recursos - distribuidora de titulos e valores mobiliarios s.a.
188,31230324000140,hectare capital gestora de recursos ltda.
189,31681693000159,investcoop asset management ltda
190,31818879000107,urca gestao de recursos ltda.
191,31881090000109,bluemacaw gestora de recursos ltda
192,32706879000188,galapagos capital investimentos e participacoes ltda.
193,32764855000185,libertas asset s.a.
194,33455893000119,hbr gestao de fundos imobiliarios ltda
195,33850686000169,brb distribuidora de titulos e valores mobiliarios s/a
196,33923111000129,brkb distribuidora de titulos e valores mobiliarios s.a.
197,33962328000148,r capital asset management investimentos s.a
198,34076827000109,legend wm gestao de recursos ltda
199,34877615000112,kilima gestao de recursos ltda.
200,35068183000161,blue asset gestao de recursos ltda.
201,35487714000150,harmonia asset management s.a.
202,36113876000191,oliveira trust distribuidora de titulos e valores mobiliarios s.a.
203,36906129000100,core real estate gestao de investimentos ltda
204,37414193000137,guardian gestora s.a.
205,37658373000164,navi real estate selection - administradora e gestora de recursos financeiros ltda.
206,37783771000102,panorama capital ltda
207,37813257000172,brick capital ltda.
208,39526263000174,patagonia capital gestora de recursos ltda
209,40147051000165,rbr private equity gestao de recursos ltda
210,42040639000140,caixa distribuidora de titulos e valores mobiliarios s.a.
211,44077014000189,br-capital distribuidora de titulos e valores mobiliarios s.a.
212,45246410000155,banco genial s.a.
213,50585090000106,bcv - banco de credito e varejo s/a.
214,59281253000123,btg pactual servicos financeiros s.a. distribuidora de titulos e valores mobiliarios
215,60451242000123,btg pactual wm gestao de recursos ltda.
216,61384004000105,avenue securities dtvm ltda.
217,62180047000131,safra asset management ltda.
218,62285390000140,singulare corretora de titulos e valores mobiliarios s.a.
219,62318407000119,santander caceis brasil distribuidora de titulos e valores mobiliarios s.a
220,62375134000144,bram - bradesco asset management s.a. distribuidora de titulos e valores mobiliarios
221,67030395000146,planner trustee distribuidora de titulos e valores mobiliarios ltda.
222,72027832000102,daycoval asset management administracao de recursos ltda
223,72600026000181,rio bravo investimentos - distribuidora de titulos e valores mobiliarios ltda.
224,78632767000120,banco ourinvest s/a
225,97543940000169,zion gestao de recursos ltda
