CNPJ_Fundo,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Hub - Coliving,Atraso no início das obras em função de arqueologia.,Desembolso inferior em função do menor andamento físico.
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Highlight e Spotlight - Jardim Botafogo,,Solução de contenções gerou economia na obra.
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Aretê - Peninsula Norte,,
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Maison Laranjeiras,Pequeno atraso na concretagem dos blocos.,
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,The Gallery,Diferença pequena relativa a replanejamento de atividades.,
01.235.622/0001-61,2020-09-30,2,Imóveis para renda em construção,,,
01.235.622/0001-61,2020-09-30,2,Imóveis para venda em construção,Highlight e Spotlight - Jardim Botafogo,"Atraso na execução de algumas atividades, e imprevistos em mobilização de equipamentos.",N.A.
01.235.622/0001-61,2020-09-30,2,Imóveis para venda em construção,Highline,Atraso em função do COVID-19.,Ocorreram modificações de projetos e reajustes além do esperado em alguns materiais. 
01.235.622/0001-61,2020-09-30,2,Imóveis para venda em construção,Icono Parque,Atraso na contratação de alguns serviços.,N.A.
01.235.622/0001-61,2020-09-30,2,Imóveis para venda em construção,Hub - Coliving,Atraso na finalização de algumas atividades.,N.A.
01.235.622/0001-61,2020-09-30,2,Imóveis para venda em construção,Iluminato,Atraso em função do COVID-19 que interrompeu o desmonte de rocha. Zona altamente residencial.,Obra paralisada.
01.235.622/0001-61,2020-09-30,2,Imóveis para venda em construção,The Gallery,Atraso na contratação de alguns serviços.,Aumento expressivo nos valores de alguns materiais.
01.235.622/0001-61,2020-09-30,2,Imóveis para venda em construção,Aretê - Peninsula Norte,Atrasos pontuais nas obras de infra-estrutura.,N.A.
01.235.622/0001-61,2020-09-30,2,Imóveis para venda em construção,Costa Mare,Obra foi replanejada e teve o prazo prorrogado por estratégia comercial.,N.A.
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Tijuca All Ways,,
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Aretê - Toriba 1,,
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Aretê - Peninsula Norte,Atraso na liberação dos terrenos pela infraestrutura e liberação tardia do inicio da quadra 20 em virtude de liberação da licença de obra,
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,The Gallery,Atraso na contratação de alguns serviços,
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Highline,,Ocorreram modificações de projetos e reajustes além do esperado em alguns materiais   
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Costa Mare,Obra foi replanejada e teve o prazo prorrogado por estratégia comercial.,
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Hub - Coliving,Montagem da fachada demandou mais tempo que o previsto.,
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Maison Laranjeiras,Obra adiantada,
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Icono Parque,Terminalidade da fachada e embasamento demandou mais tempo que o previsto.,
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Highlight e Spotlight - Jardim Botafogo,,
01.235.622/0001-61,2020-12-31,1,Imóveis para venda em construção,Iluminato,Atraso em função do COVID-19 que interrompeu o desmonte de rocha. Zona altamente residencial.,Andamento físico lento para cobrança de parcelas pela construtora
03.683.056/0001-86,2020-03-31,1,Imóveis para renda em construção,Edifício Alameda Santos,Evolução está de acordo com o previsto,Orçamento e cronograma de obras ainda estão em processo de elaboração. Os custos mencionados em 1.1.2.2.1 se referem a gastos iniciais com elaboração de projeto.
03.683.056/0001-86,2020-06-30,1,Imóveis para renda em construção,Edifício Alameda Santos,Evolução está de acordo com o previsto,Orçamento e cronograma de obras ainda estão em processo de elaboração. Os custos mencionados em 1.1.2.2.1 se referem a gastos iniciais com elaboração de projeto e execução inicial da obra.
03.683.056/0001-86,2020-09-30,1,Imóveis para renda em construção,Edifício Alameda Santos,Evolução está de acordo com o previsto,Orçamento e cronograma de obras ainda estão em processo de elaboração. Os custos mencionados em 1.1.2.2.1 se referem a gastos iniciais com elaboração de projeto e preparação para obras.
03.683.056/0001-86,2020-12-31,1,Imóveis para renda em construção,Edifício Alameda Santos,Evolução está de acordo com o previsto,Orçamento e cronograma de obras ainda estão em processo de elaboração. Os custos mencionados em 1.1.2.2.1 se referem a gastos iniciais com elaboração de projeto e preparação para obras.
03.855.441/0001-63,2020-03-31,1,Imóveis para renda em construção,Laboratório de Fluidos,,
08.417.532/0001-30,2020-03-31,1,Imóveis para renda em construção,Expansão Lubrax,,
08.417.532/0001-30,2020-06-30,1,Imóveis para renda em construção,Expansão Lubrax,,
08.417.532/0001-30,2020-09-30,1,Imóveis para renda em construção,Expansão Lubrax,,
08.417.532/0001-30,2020-12-31,1,Imóveis para renda em construção,Expansão Lubrax,,
09.150.967/0001-24,2020-03-31,1,Imóveis para venda em construção,,,
09.150.967/0001-24,2020-03-31,1,Imóveis para renda em construção,Benteler,COVID e chuvas,
11.044.355/0001-07,2020-06-30,1,Imóveis para renda em construção,Power Shopping Centerminas,"O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.","Aumento do custo indireto, devido ao aumento no prazo de execução."
11.044.355/0001-07,2020-09-30,1,Imóveis para renda em construção,Power Shopping Centerminas,"O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.","Aumento do custo indireto, devido ao aumento no prazo de execução."
11.044.355/0001-07,2020-12-31,2,Imóveis para renda em construção,Power Shopping Centerminas,"O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.","Aumento do custo indireto, devido ao aumento no prazo de execução."
12.681.340/0001-04,2020-03-31,1,Imóveis para renda em construção,Ag. Raposo,Obras em finalização.,não há
12.681.340/0001-04,2020-06-30,1,Imóveis para renda em construção,Ag. Raposo,Obras em finalização.,não há
12.681.340/0001-04,2020-09-30,1,Imóveis para renda em construção,Ag. Raposo,Obras em finalização.,não há
12.681.340/0001-04,2020-12-31,1,Imóveis para renda em construção,Ag. Raposo,Obras em finalização.,não há
12.989.974/0001-29,2020-03-31,2,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-03-31,2,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-03-31,2,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-06-30,1,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-06-30,1,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-06-30,1,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-09-30,1,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-09-30,1,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-09-30,1,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-12-31,2,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-12-31,2,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2020-12-31,2,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.
13.320.290/0001-00,2020-06-30,1,Imóveis para renda em construção,"R. Leopoldo C AP 311, Sao Paulo-SP",15474748,15474748
13.320.290/0001-00,2020-06-30,1,Imóveis para renda em construção,"R. Leopoldo C AP 321, Sao Paulo-SP",32506000,32506000
13.320.290/0001-00,2020-09-30,1,Imóveis para renda em construção,"R. Leopoldo C AP 311, Sao Paulo-SP",,
13.320.290/0001-00,2020-09-30,1,Imóveis para renda em construção,"R. Leopoldo C AP 321, Sao Paulo-SP",,
13.320.290/0001-00,2020-12-31,1,Imóveis para renda em construção,"R. Leopoldo C AP 311, Sao Paulo-SP",,
13.320.290/0001-00,2020-12-31,1,Imóveis para renda em construção,"R. Leopoldo C AP 321, Sao Paulo-SP",,
13.568.181/0001-07,2020-03-31,1,Imóveis para venda em construção,,,
13.568.181/0001-07,2020-03-31,1,Imóveis para renda em construção,,,
13.584.584/0001-31,2020-03-31,2,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
13.584.584/0001-31,2020-06-30,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
13.584.584/0001-31,2020-09-30,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
13.584.584/0001-31,2020-12-31,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
13.703.596/0001-38,2020-12-31,1,Imóveis para renda em construção,Não possui informação apresentada.,,
13.726.079/0001-84,2020-03-31,1,Imóveis para renda em construção,BELMIRA MARIM,Em análise,Não se aplica
13.726.079/0001-84,2020-09-30,1,Imóveis para renda em construção,BELMIRA MARIM,Em análise,Não se aplica
13.726.079/0001-84,2020-12-31,1,Imóveis para renda em construção,BELMIRA MARIM,Em análise,Não se aplica
14.609.653/0001-87,2020-06-30,1,Imóveis para renda em construção,JHSF Aeroporto,,
14.609.653/0001-87,2020-09-30,1,Imóveis para renda em construção,JHSF Aeroporto,,
14.609.653/0001-87,2020-12-31,1,Imóveis para renda em construção,JHSF Aeroporto,,
15.461.076/0001-91,2020-03-31,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
15.461.076/0001-91,2020-03-31,1,Imóveis para renda em construção,14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
15.461.076/0001-91,2020-03-31,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel,,
15.461.076/0001-91,2020-03-31,1,Imóveis para renda em construção,51 Unidades  Master no Hotel,,
15.461.076/0001-91,2020-03-31,1,Imóveis para renda em construção,64 Unidades Standard no Hotel,,
15.461.076/0001-91,2020-03-31,1,Imóveis para renda em construção,02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
15.461.076/0001-91,2020-06-30,1,Imóveis para renda em construção,14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
15.461.076/0001-91,2020-06-30,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
15.461.076/0001-91,2020-06-30,1,Imóveis para renda em construção,64 Unidades Standard no Hotel,,
15.461.076/0001-91,2020-06-30,1,Imóveis para renda em construção,02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
15.461.076/0001-91,2020-06-30,1,Imóveis para renda em construção,51 Unidades  Master no Hotel,,
15.461.076/0001-91,2020-06-30,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel,,
15.461.076/0001-91,2020-09-30,1,Imóveis para renda em construção,14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
15.461.076/0001-91,2020-09-30,1,Imóveis para renda em construção,02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
15.461.076/0001-91,2020-09-30,1,Imóveis para renda em construção,51 Unidades  Master no Hotel,,
15.461.076/0001-91,2020-09-30,1,Imóveis para renda em construção,64 Unidades Standard no Hotel,,
15.461.076/0001-91,2020-09-30,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
15.461.076/0001-91,2020-09-30,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel,,
15.461.076/0001-91,2020-12-31,1,Imóveis para renda em construção,64 Unidades Standard no Hotel,,
15.461.076/0001-91,2020-12-31,1,Imóveis para renda em construção,51 Unidades  Master no Hotel,,
15.461.076/0001-91,2020-12-31,1,Imóveis para renda em construção,14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
15.461.076/0001-91,2020-12-31,1,Imóveis para renda em construção,02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
15.461.076/0001-91,2020-12-31,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel,,
15.461.076/0001-91,2020-12-31,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
15.576.907/0001-70,2020-03-31,1,Imóveis para renda em construção,Estrada do Campo Limpo,,
17.211.882/0001-37,2020-03-31,1,Imóveis para renda em construção,JHSF Aeroporto,,
17.211.882/0001-37,2020-06-30,1,Imóveis para renda em construção,JHSF Aeroporto,,
17.211.882/0001-37,2020-09-30,1,Imóveis para renda em construção,JHSF Aeroporto,,
17.211.882/0001-37,2020-12-31,1,Imóveis para renda em construção,JHSF Aeroporto,,
17.311.079/0001-74,2020-03-31,1,Imóveis para renda em construção,Praça Capital - Bloco 02,não se aplica,não se aplica
17.311.079/0001-74,2020-06-30,1,Imóveis para renda em construção,Praça Capital - Bloco 02,não se aplica,não se aplica
17.311.079/0001-74,2020-09-30,1,Imóveis para renda em construção,não se aplica,não se aplica,não se aplica
17.311.079/0001-74,2020-12-31,1,Imóveis para renda em construção,não se aplica,não se aplica,não se aplica
18.369.510/0001-04,2020-03-31,1,Imóveis para renda em construção,IMÓVEL CONASA,,
20.265.467/0001-70,2020-03-31,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
20.265.467/0001-70,2020-06-30,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
20.265.467/0001-70,2020-09-30,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
20.265.467/0001-70,2020-12-31,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
20.748.515/0001-81,2020-09-30,1,Imóveis para renda em construção,Expansão Contagem,Não se aplica,Não se aplica
20.748.515/0001-81,2020-12-31,3,Imóveis para renda em construção,Expansão Contagem,Não se aplica,Não se aplica
21.408.063/0001-51,2020-12-31,1,Imóveis para renda em construção,Edíficio River One,,
24.853.044/0001-22,2020-12-31,2,Imóveis para renda em construção,Castelo 57 Business Park,,
26.502.761/0001-35,2020-09-30,1,Imóveis para venda em construção,Não há,Não há,Não há
26.502.794/0001-85,2020-03-31,2,Imóveis para renda em construção,CAJAMAR - CD Leroy,Não há,Não há
26.502.794/0001-85,2020-03-31,2,Imóveis para renda em construção,ESPECULATIVO - CAJAMAR II - Especulativo Cajamar,Não há,Não há
26.502.794/0001-85,2020-12-31,3,Imóveis para renda em construção,Especulatvo Cajamar,Não aplicável,Não aplicável
26.502.794/0001-85,2020-12-31,3,Imóveis para renda em construção,Syslog SP,Não aplicável,Não aplicável
27.293.689/0001-46,2020-03-31,1,Imóveis para venda em construção,Dual Medical & Business,Limitação de fluxo de caixa,Não houve custos superiores
27.293.689/0001-46,2020-06-30,1,Imóveis para venda em construção,Dual Medical & Business,Limitação de fluxo de caixa,Não houve custos superiores
27.293.689/0001-46,2020-09-30,1,Imóveis para venda em construção,Dual Medical & Business,Limitação de fluxo de caixa,Não houve custos superiores
27.580.051/0001-96,2020-12-31,1,Imóveis para renda em construção,Empreendimento não residencial na cidade de Bonito - PE,Construção dentro do previsto.,Custos dentro do previsto.
28.267.555/0001-13,2020-03-31,1,Imóveis para renda em construção,"CONDOMINIO LED CORPORATE (70,81% da área total)",A obra encontra-se em fase inicial de construção e sua evolução está dentro do cronograma previsto.,A obra encontra-se em fase inicial de construção e os custos estão dentro do cronograma previsto.
28.267.555/0001-13,2020-06-30,1,Imóveis para renda em construção,"CONDOMINIO LED CORPORATE (70,81% da área total)",A obra encontra-se em fase inicial de construção e sua evolução está dentro do cronograma previsto.,A obra encontra-se em fase inicial de construção e os custos estão dentro do cronograma previsto.
28.267.555/0001-13,2020-09-30,1,Imóveis para renda em construção,"CONDOMINIO LED CORPORATE (70,81% da área total)",A obra encontra-se em fase inicial de construção e sua evolução está dentro do cronograma previsto.,A obra encontra-se em fase inicial de construção e os custos estão dentro do cronograma previsto.
28.267.555/0001-13,2020-12-31,1,Imóveis para renda em construção,"CONDOMINIO LED CORPORATE (70,81% da área total)",A obra encontra-se em fase final de construção e sua evolução está dentro do cronograma previsto.,A obra encontra-se em fase final de construção e sua evolução está dentro do cronograma previsto.
28.516.650/0001-03,2020-03-31,1,Imóveis para venda em construção,Condomínio Borges 3647,"As medidas sanitárias de distanciamento social, em virtude da pandemia do COVID-19, demandaram atitudes de prevenção por parte da empresa de engenharia, sem que a obra tenha sido parasalisada.",
28.516.650/0001-03,2020-06-30,1,Imóveis para venda em construção,Condomínio Borges 3647,"As medidas sanitárias de distanciamento social, em virtude da pandemia do COVID-19, demandaram atitudes de prevenção por parte da empresa de engenharia, sem que a obra tenha sido parasalisada, porém , a obra encontra-se atrasada em 3 meses em relação ao cronograma.",
28.516.650/0001-03,2020-09-30,1,Imóveis para venda em construção,Condomínio Borges 3647,"A OBRA PODE SER CONSIDERADA CONCLUÍDA, EMBORA AINDA ESTEJAM EM CURSO A FINALIZAÇÃO DOS SERVIÇOS DE LIMPEZA FINAL E DA DESMOBILIZAÇÃO DO CANTEIRO, MAS QUE, PORÉM, TÊM PLENAS CONDIÇÕES DE ESTAREM TODOS CONCLUÍDOS ATÉO FINAL DO MÊS. A CONSTRUTORA DEU ENTRADA NO PROCESSO DE SOLICITAÇÃO DO HABITE-SE EM SET/2020.",
28.516.650/0001-03,2020-12-31,1,Imóveis para venda em construção,Condomínio Lisboa 142,"O atraso refere-se principalmente na entrega de materiais na fase de fundação, estágio que encontra-se a obra.",
28.851.767/0001-43,2020-03-31,2,Imóveis para renda em construção,Hospital Unimed Sul Capixaba,,
30.017.492/0001-99,2020-03-31,1,Imóveis para renda em construção,UNIMED - Unimed Itu/Salto Cooperativa Médica,,
30.017.492/0001-99,2020-06-30,1,Imóveis para renda em construção,"Rua Ester Martins Bertozzo, com a Rodovia da Convenção (SP-40/70), no Bairro Canjica",,
30.017.492/0001-99,2020-09-30,1,Imóveis para renda em construção,"Rua Ester Martins Bertozzo, com a Rodovia da Convenção (SP-40/70), no Bairro Canjica",,
30.017.492/0001-99,2020-12-31,1,Imóveis para renda em construção,"Rua Ester Martins Bertozzo, com a Rodovia da Convenção (SP-40/70), no Bairro Canjica",,
30.654.849/0001-40,2020-03-31,3,Imóveis para renda em construção,,,
30.654.849/0001-40,2020-06-30,3,Imóveis para renda em construção,,,
30.871.660/0001-09,2020-06-30,1,Imóveis para renda em construção,Ed. Maestro Cardim,0,0
30.871.660/0001-09,2020-06-30,1,Imóveis para renda em construção,Ed Ouro Branco,0,0
30.871.660/0001-09,2020-09-30,1,Imóveis para renda em construção,Ed Ouro Branco,0,0
30.871.660/0001-09,2020-09-30,1,Imóveis para renda em construção,Ed. Maestro Cardim,0,0
30.871.716/0001-25,2020-03-31,1,Imóveis para renda em construção,N/D,N/D,N/D
30.871.716/0001-25,2020-06-30,1,Imóveis para renda em construção,N/D,N/D,N/D
30.871.716/0001-25,2020-09-30,1,Imóveis para renda em construção,N/D,N/D,N/D
30.871.716/0001-25,2020-12-31,1,Imóveis para renda em construção,N/D,N/D,N/D
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 104,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 102,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 210,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 204,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 202,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 209,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 109,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 203,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 201,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-03-31,1,Imóveis para renda em construção,Unidade 103,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 202,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 203,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 104,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 109,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 210,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 209,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 201,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 102,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 103,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-06-30,1,Imóveis para renda em construção,Unidade 204,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 209,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 210,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 202,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 102,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 109,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 203,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 204,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 201,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 104,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-09-30,1,Imóveis para renda em construção,Unidade 103,Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo),
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 209,,
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 109,,
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 210,,
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 104,,
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 103,,
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 203,,
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 102,,
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 201,,
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 204,,
31.469.385/0001-64,2020-12-31,2,Imóveis para renda em construção,Unidade 202,,
31.907.591/0001-09,2020-03-31,1,Imóveis para renda em construção,"Imóvel B, TERRENO FELTRINS",Não Aplicavel,Não Aplicavel
31.907.591/0001-09,2020-03-31,1,Imóveis para renda em construção,"Imóvel A, TERRENO FELTRINS",Não Aplicavel,Não Aplicavel
31.907.591/0001-09,2020-06-30,1,Imóveis para renda em construção,"Imóvel B, TERRENO FELTRINS",Não Aplicavel,Não Aplicavel
31.907.591/0001-09,2020-06-30,1,Imóveis para renda em construção,"Imóvel A, TERRENO FELTRINS",Não Aplicavel,Não Aplicavel
31.907.591/0001-09,2020-09-30,1,Imóveis para renda em construção,"Imóvel A, TERRENO FELTRINS",Não Aplicavel,Não Aplicavel
31.907.591/0001-09,2020-09-30,1,Imóveis para renda em construção,"Imóvel B, TERRENO FELTRINS",Não Aplicavel,Não Aplicavel
31.907.591/0001-09,2020-12-31,1,Imóveis para renda em construção,"Imóvel B, TERRENO FELTRINS",Não Aplicavel,Não Aplicavel
31.907.591/0001-09,2020-12-31,1,Imóveis para renda em construção,"Imóvel A, TERRENO FELTRINS",Não Aplicavel,Não Aplicavel
31.962.875/0001-06,2020-09-30,1,Imóveis para renda em construção,,,
31.962.875/0001-06,2020-12-31,1,Imóveis para renda em construção,,,
34.508.923/0001-70,2020-09-30,1,Imóveis para venda em construção,Não há,Não há,Não há
34.508.923/0001-70,2020-12-31,1,Imóveis para venda em construção,Não há,Não há,Não há
34.895.711/0001-93,2020-03-31,1,Imóveis para venda em construção,"ALPHABURLEMARX LOTE A,B e C",não aplicavel,não aplicavel
34.895.711/0001-93,2020-03-31,1,Imóveis para venda em construção,ALPHACASTELLO,não aplicavel,não aplicavel
34.895.711/0001-93,2020-06-30,1,Imóveis para venda em construção,"ALPHABURLEMARX LOTE A,B e C",não aplicavel,não aplicavel
34.895.711/0001-93,2020-06-30,1,Imóveis para venda em construção,ALPHACASTELLO,não aplicavel,não aplicavel
34.895.711/0001-93,2020-09-30,1,Imóveis para venda em construção,"ALPHABURLEMARX LOTE A,B e C",não aplicavel,não aplicavel
34.895.711/0001-93,2020-09-30,1,Imóveis para venda em construção,ALPHACASTELLO,não aplicavel,não aplicavel
34.895.711/0001-93,2020-09-30,1,Imóveis para venda em construção,ALPHAVILLE BAURU,não aplicavel,não aplicavel
34.895.711/0001-93,2020-12-31,1,Imóveis para venda em construção,"ALPHABURLEMARX LOTE A,B e C",não aplicavel,não aplicavel
34.895.711/0001-93,2020-12-31,1,Imóveis para venda em construção,ALPHACASTELLO,não aplicavel,não aplicavel
34.895.711/0001-93,2020-12-31,1,Imóveis para venda em construção,ALPHAVILLE BAURU,não aplicavel,não aplicavel
