CNPJ_Fundo,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto
12.989.974/0001-29,2019-03-29,1,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-03-29,1,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-06-28,1,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-06-28,1,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-06-28,1,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-09-30,1,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-09-30,1,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-09-30,1,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-12-31,1,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-12-31,1,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
12.989.974/0001-29,2019-12-31,1,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.
13.584.584/0001-31,2019-03-29,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
13.584.584/0001-31,2019-06-28,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
13.584.584/0001-31,2019-09-30,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
13.584.584/0001-31,2019-12-31,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica
