CNPJ_Fundo,Data_Referencia,Versao,Numero_Cotistas_Faixa_Ate_5,Numero_Cotas_Detidas_Faixa_Ate_5,Percentual_Cotas_Detidas_Faixa_Ate_5,Percentual_Detido_PF_Faixa_Ate_5,Percentual_Detido_PJ_Faixa_Ate_5,Numero_Cotistas_Faixa_5a10,Numero_Cotas_Detidas_Faixa_5a10,Percentual_Cotas_Detidas_Faixa_5a10,Percentual_Detido_PF_Faixa_5a10,Percentual_Detido_PJ_Faixa_5a10,Numero_Cotistas_Faixa_10a15,Numero_Cotas_Detidas_Faixa_10a15,Percentual_Cotas_Detidas_Faixa_10a15,Percentual_Detido_PF_Faixa_10a15,Percentual_Detido_PJ_Faixa_10a15,Numero_Cotistas_Faixa_15a20,Numero_Cotas_Detidas_Faixa_15a20,Percentual_Cotas_Detidas_Faixa_15a20,Percentual_Detido_PF_Faixa_15a20,Percentual_Detido_PJ_Faixa_15a20,Numero_Cotistas_Faixa_20a30,Numero_Cotas_Detidas_Faixa_20a30,Percentual_Cotas_Detidas_Faixa_20a30,Percentual_Detido_PF_Faixa_20a30,Percentual_Detido_PJ_Faixa_20a30,Numero_Cotistas_Faixa_30a40,Numero_Cotas_Detidas_Faixa_30a40,Percentual_Cotas_Detidas_Faixa_30a40,Percentual_Detido_PF_Faixa_30a40,Percentual_Detido_PJ_Faixa_30a40,Numero_Cotistas_Faixa_40a50,Numero_Cotas_Detidas_Faixa_40a50,Percentual_Cotas_Detidas_Faixa_40a50,Percentual_Detido_PF_Faixa_40a50,Percentual_Detido_PJ_Faixa_40a50,Numero_Cotistas_Faixa_Acima_50,Numero_Cotas_Detidas_Faixa_Acima_50,Percentual_Cotas_Detidas_Faixa_Acima_50,Percentual_Detido_PF_Faixa_Acima_50,Percentual_Detido_PJ_Faixa_Acima_50
09.006.914/0001-34,2021-12-01,1,10803.0,1608937.0,0.8689,0.77362182069283,0.2264,2.0,242849.0,0.1311,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.072.017/0001-29,2021-12-01,1,113050.0,11817767.0,1.0,0.8878,0.1122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09.150.967/0001-24,2021-12-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,72499.289165,1.0,0.0,1.0
09.276.964/0001-31,2021-12-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1206204.15662318,1.0,,1.0
09.326.861/0001-39,2021-12-01,1,1882.0,291587.0,0.2857,0.9999,0.0001,1.0,85573.0,0.0838,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,643587.0,0.6305,0.0,1.0
09.350.920/0001-04,2021-12-01,1,41.0,120150.0,0.1224,0.1224,0.0,13.0,861322.0,0.8776,0.8776,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.517.273/0001-82,2021-12-01,1,1745.0,1481830.272,0.92122,0.799973,0.121203,1.0,126722.0,0.07878,0.07878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09.552.812/0001-14,2021-12-01,1,132529.0,4565166.0,0.747957609303107,0.1336970257601,0.614260583543008,0.0,0.0,0.0,0.0,0.0,1.0,613777.0,0.100561332833293,0.100561332833293,0.0,1.0,924566.0,0.151481057863599,0.151481057863599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.347.505/0001-80,2021-12-01,1,72.0,6391.0,0.1019,0.998037291462218,0.0019627085377821,3.0,21716.0,0.3462,1.0,0.0,1.0,9532.0,0.1519,1.0,0.0,1.0,25096.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.347.985/0001-80,2021-12-01,1,1399.0,1202550.0,0.419,0.8628,0.1372,2.0,358543.0,0.1249,0.0,1.0,1.0,383670.0,0.1637,0.0,1.0,2.0,925237.0,0.3224,0.0,1.0,,,,,,,,,,,,,,,,,,,,
