CNPJ_Fundo,Data_Referencia,Versao,Nome_Prestador,CNPJ_Prestador,Endereco,Telefone
22.888.670/0001-29,2016-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
26.195.121/0001-20,2016-12-31,1,Souza Cescon Barrieu FB. Soc Advogados,10687865000121,"Rua Funchal, 418 - 11º na. S.Paulo - SP",11-3089.6500
26.195.121/0001-20,2016-12-31,1,JJ Chaves Contadores Sociedade Simples Ltda,94154119000162,"Roa Dona Laura, 414 - Porto Alegre - RS",51-3388.3677
26.195.121/0001-20,2016-12-31,1,Itaú Corretora de Valores S/A,61194353000164,Av Brig Faria Lima 3400 10º and. São Paulo - SP,11-2740.2575
01.497.954/0001-14,2017-12-01,1,Castro Martini Engenheiros Associados Ltda.,02.989.103/0001-51,"Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.",(51) 3328-2792
01.497.954/0001-14,2017-12-01,1,Bernardes de Oliviera e Martini Engenheiros Associados S/S,10.412.737/0001-31,"Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.",(51) 3328-2792
01.497.954/0001-14,2017-12-01,1,Lippert Advogados,92.248.004/0001-01,"R Manoelito De Ornellas, 55 - 10 Andar -Porto Alegre/RS.",(51) 3227-3448
01.636.325/0001-28,2017-12-01,1,Smith Advogados Assoc,,,
03.251.720/0001-18,2017-12-01,2,Cushman & Wakefield Negócios Imobiliários,11.038.935/0001-83,"Praça Prof. José Lannes,40 3° andar",11 5501-5464
04.066.582/0001-60,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
04.066.582/0001-60,2017-12-01,1,"ARMELIN, BUENO E ADVOGADOS ASSOCIADOS",01.533.906/0001-34,"R Pequetita, 145 - Cj 63 - Vila Olimpia -SP",(11) 3372-1300
04.066.582/0001-60,2017-12-01,1,COMISSÃO DE VALORES MOBILIÁRIOS,29.507.878/002-80,"Condomínio Edifício Delta Plaza - R. Cincinato Braga, 340 - Bela Vista, São Paulo - SP, 01333-010",0800 025 9666
04.066.582/0001-60,2017-12-01,1,ITAÚ CORRETORA DE VALORES S.A.,61.194.353/0001-64,"Rua Álvares Penteado, 218 - Itaim Bibi, São Paulo - SP, 01012-000",(11) 4004-3131
04.141.645/0001-03,2017-12-01,1,Itaú Corretora de Valores S/A,61194353000164,Av Brig Faria Lima 3400 10º and. São Paulo - SP,11-2740.2575
04.782.236/0001-88,2017-12-01,1,Furtado Neto Advogados Associados,04.158.467/0001-45,"Rua Ministro Calogeras, 343 - 3º andares - Centro - Joinville - SC.",(47) 2105-3393
04.782.236/0001-88,2017-12-01,1,Perville Engenharia e Empreendimento Imobiliarios Ltda.,75.491.613/0005-00,"Rua Dona Francisca,8.300 - Bloco Z - Distrito Industrial - Joinville - SC.",(47) - 3803-2211
04.782.236/0001-88,2017-12-01,1,Tricon Assessoria Imobiliaria Ltda.,00.758.145/0001-56,"Rua Dona Francisca,8.300 - Bloco L - Sala 15 -  Distrito Industrial - Joinville - SC.",(47) 99911-9253
04.782.236/0001-88,2017-12-01,1,JFS Consultoria Empresarial Ltda.,05.816.237/0001-69,"Rua Hugo Raimann, 123 - Anita Garibaldi - Joinville - SC.",(47) - 3803-2200
05.437.916/0001-27,2017-12-01,1,Predial Prime Serviços e Instalações ME,25343277000148,"Praça Cívica, 76 - 1º andar - Lapa - São Paulo - SP",(11) 3477-7550
05.437.916/0001-27,2017-12-01,1,DKR Serviços e Comércio de Material Elétrico e Hidráulico,27428562000197,"Rua Tuiuti, 75 - São Cristovão - Rio de Janeiro - RJ",(21) 2567-4765
05.437.916/0001-27,2017-12-01,1,JZ Engenharia e Comércio LTDA,58004714000158,"Av. Marquês de são Vicente, 1.619 - 20º andar - Barra Funda - São Paulo - SP",(11) 3526-6226
05.437.916/0001-27,2017-12-01,1,Atala Elmor Engenharia e Construções Eirelli,567425000187,"Rua Bento Freitas, 341 - Vila Buarque - São Paulo - SP",(11) 3256-8628
05.437.916/0001-27,2017-12-01,1,Colliers International do Brasil Consultoria LTDA,2636857000128,"Rua Olimpíadas, 205 - 1º andar - Conj 12 - Vila Olímpia - São Paulo - SP",(11) 3323-1827
05.437.916/0001-27,2017-12-01,1,GSS Serviços Administrativos e de Portaria,8621572000180,"Av. das Américas, 14.205 - Sala 102 - Recreio dos Bandeirantes - Rio de Janeiro - RJ",(21) 3866-8779
05.437.916/0001-27,2017-12-01,1,Cushman & Wakefield Serviços Gerais LTDA,5752618000121,"Alameda Araguaia, 2.044 - Bloco 1 - 13º andar - Sala 1312 - Barueri - São Paulo - SP",(11) 3513-6722
05.562.312/0001-02,2017-12-01,1,THIAGO NOGUEIRA DE CAMARGO BITTENCOURT,04.338.989/0001-07,"Al Fernao Cardim, 166, Apt 71, Jardim Paulista, Sao Paulo, SP, CEP 01403-020, Brasil",(11) 3337-1554
05.562.312/0001-02,2017-12-01,1,ENGEARQ CONSTRUCOES LTDA,05.562.312/0001-02,Av. Pastor Martin Luther King Jr. 126 BLc 9 Sal 1306 Tor Del Castilho,(21) 2580 - 1818
05.562.312/0001-02,2017-12-01,1,ELEVADORES ATLAS SCHINDLER S.A.,00.028.986/0001-08,Av. N/S de Fatima 25 Centro CEP: 20240-050,(21) 3806 - 9518
05.562.312/0001-02,2017-12-01,1,ANA PAULA SOUZA DE MATTOS ME,15.546.313/0001-17,"Rua Henrique Fruchtenicht,78 - Santo Andre",(51) 99564-6726
05.562.312/0001-02,2017-12-01,1,CWR CONSTRUCOES REFORMAS E COMERCIA LTDA,07.681.401/0001-01,Rua Ricardo Machado 895 - Vasco da Gama CEP: 20921.270,(21) 2580-1334
06.175.262/0001-73,2017-12-01,1,Itaú Corretora de Valores S.A.,61.194.353/0001-64,"Avenida Brigadeiro Faria Lima 3400, 10º andar, CEP 04310-030, São Paulo - SP",11 3003-9285
07.352.632/0001-63,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
07.352.632/0001-63,2017-12-01,1,RODOBENS LOCACAO DE IMOVEIS LTDA,07.352.632/0001-63,"R. Estado de Israel, 975 - Vila Clementino, São Paulo - SP, 04022-901",(11) 2124-8700
07.583.627/0001-61,2017-12-01,1,Não aplicável,0,Não aplicável,0
07.583.627/0001-61,2017-12-01,1,Não aplicável,0,Não aplicável,0
07.583.627/0001-61,2017-12-01,1,Não aplicável,0,Não aplicável,0
07.583.627/0001-61,2017-12-01,1,Não aplicável,0,Não aplicável,0
07.583.627/0001-61,2017-12-01,1,Não aplicável,0,Não aplicável,0
07.583.627/0001-61,2017-12-01,1,Não aplicável,0,Não aplicável,0
08.014.513/0001-63,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
08.014.513/0001-63,2017-12-01,1,ITAÚ CORRETORA DE VALORES S.A.,61.194.353/0001-64,"Rua Álvares Penteado, 218 - Itaim Bibi, São Paulo - SP, 01012-000",(11) 4004-3131
08.098.114/0001-28,2017-12-01,1,BRAZILIAN SECURITIES COMPANHIA DE SECURITIZAÇÃO,03.767.538/0001-14,"Av. Paulista Nº 1.374, 17º Andar",(11) 3253 9304
08.610.522/0001-17,2017-06-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
08.610.522/0001-17,2017-06-01,1,ERNST & YOUNG TERCO AUDITORES INDEPENDENTES S/S,61.366.936/0001-25,"Av. Chedid Jafet, 75 - Vila Olimpia, São Paulo - SP",(11) 2573-3000
09.276.964/0001-31,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
10.375.382/0001-91,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
10.456.799/0001-89,2017-12-01,1,Condominio Viva Open Mall,,"Avenida Dr. Nilo Peçanha, 3228 Porto Alegre/RS.",51 - 3073-7130
11.026.627/0001-38,2017-12-01,1,LEFOSSE ADVOGADOS,57.756.694/0001-09,R. Tabapuã 1227 14º Andar São Paulo CEP: 04533-014,
11.179.118/0001-45,2017-12-01,1,ERNST & YOUNG TERCO AUDITORES INDEP,61.366.936/0001-25,"Av. Chedid Jafet, 75 - Vila Olimpia, São Paulo - SP",(11) 2573-3000
11.274.415/0001-70,2017-12-01,1,GRC 02 INCORPORAÇÕES E PARTICIPAÇÕES LTDA,22.839.398/0001-97,Av. Bartolomeu Mitre 336 Leblon,
11.274.415/0001-70,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Cidade do Rio de Janeiro, Estado do Rio de Janeiro, na Praia de Botafogo, nº 501 - 5º andar parte",(11) 3383-2000
11.602.654/0001-01,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
11.602.654/0001-01,2017-12-01,1,THIAGO NOGUEIRA DE CAMARGO BITTENCOURT,04.338.989/0001-07,"Al. Fernão Cardim nº 166, apto 71 - Jardim Paulista CEP: 01403-020 - SP",
11.602.654/0001-01,2017-12-01,1,PEDREIRA DE FREITAS LTDA,11.602.654/0001-01,Rua Professor Oswaldo Teixeira nº 349 Terreo CEP 05617-020 - Bairro Vila Progredior,11 2039 1212
11.602.654/0001-01,2017-12-01,1,SANRLEI DAIANE DA SILVA POLINI ME,18.159.023/0001-09,"Al. Araguaia, 750 - Sala 206 - Alphaville Centro Industrial e Empre/ Alphaville",11 4208 7287
