CNPJ_Fundo,Data_Referencia,Versao,Numero_Processo,Valores,Causa_Contingencia
07.224.019/0001-60,2016-12-01,1,0059920-68.2011.8.26.0114,229452.72,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0072289-94.2011.8.26.0114,82094.01,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0068926-02.2011.8.26.0114,61692,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
07.224.019/0001-60,2016-12-01,1,0015932-60.2012.8.26.0114,90431.12,As açoes renovatórias não devem ter impacto para o fundo visto terem como consequencia última a renovação do contrato de locação já vigente
07.224.019/0001-60,2016-12-01,1,0011329-41.2012.8.26.0114,166973.64,As açoes renovatórias não devem ter impacto para o fundo visto terem como consequencia última a renovação do contrato de locação já vigente
07.224.019/0001-60,2016-12-01,1,0071031-15.2012.8.26.0114,55353.44,As açoes renovatórias não devem ter impacto para o fundo visto terem como consequencia última a renovação do contrato de locação já vigente
07.224.019/0001-60,2016-12-01,1,1011184-60.2015.8.26.0114,126889.65,As açoes renovatórias não devem ter impacto para o fundo visto terem como consequencia última a renovação do contrato de locação já vigente
07.224.019/0001-60,2016-12-01,1,4021513-51.2013.8.26.0114,127137.24,As açoes renovatórias não devem ter impacto para o fundo visto terem como consequencia última a renovação do contrato de locação já vigente
07.583.627/0001-61,2016-12-01,1,,0,
07.583.627/0001-61,2016-12-01,1,,0,
07.583.627/0001-61,2016-12-01,1,,0,
07.583.627/0001-61,2016-12-01,1,,0,
07.583.627/0001-61,2016-12-01,1,,0,
08.098.114/0001-28,2016-12-01,1,0254780-83.2009.8.19.0001 (2009.001.255527-3),63910.36,"Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
08.098.114/0001-28,2016-12-01,1,0377216-05.2013.8.19.0001,693864.48,"De acordo com parecer do escritório, não há valor em risco. Tratando-se de renovatória adstrita ao valor do aluguel não há como fixar valor financeiro em risco.Trata-se de demanda em fase de encerramento."
08.098.114/0001-28,2016-12-01,1,0022642-46.2010.4.02.5101,576000,"De acordo com parecer do escritório, não há valor em risco. Tratando-se de renovatória adstrita ao valor do aluguel não há como fixar valor financeiro em risco.Trata-se de demanda em que o autor requereu a desistência da demanda e o imóvel foi já vendido."
08.098.114/0001-28,2016-12-01,1,0704083-67.2012.8.02.0001,97972.56,"Não há risco de perda financeira, apenas de se ter de aceitar valor consignado pela autora nos autos."
