,CNPJ_Gestor,Nome_Gestor,0
133,09456933000162,quatá gestão de recursos ltda,2
134,09481178000176,icatu gestão patrimonial ltda.,5
135,09561568000156,maua capital gestao de investimento imobiliario ltda,3
136,09561568000156,mauá capital investimentos imobiliários ltda,3
137,09630188000126,geração futuro - gestão de recursos s/a,5
138,09630188000126,plural investimentos gestão de recursos ltda,1
139,09631542000137,btg  pactual gestora de recursos ltda,1
140,09631542000137,btg pactual gestora de recursos financeiros ltda,1
141,09631542000137,btg pactual gestora de recursos ltda,67
142,09631542000137,btg pactual gestão de recursos ltda,1
143,10172364000102,genus capital group,2
144,10172364000102,roma asset management ltda,2
145,10231177000152,santander brasil gestão de recursos ltda.,6
146,10253634000100,renda asset administradora derecursos l,1
147,10262910000104,ts gestão e consultoria imobiliaria ltda,1
148,10262910000104,ts gestão e consultoria imobiliária ltda.,1
149,10307354000137,belvedere administração de valores mobiliários ltda,1
150,10464748000107,hieron patrimonio familiar e investimentos ltda,9
151,10556398000109,more invest gestora de recursos ltda,3
152,10556398000109,more invest gestora de recursos ltda.,2
153,10790817000164,ggr gestão de recursos ltda,4
154,10790817000164,supernova capital gestão de recursos ltda,1
155,10790817000164,supernova capital gestão de recursos ltda.,2
156,11010779000142,bridge administradora de recursos ltda,1
157,11077576000173,vinci gestora de recursos ltda.,1
158,11274775000171,vbi real estate gestao de carteiras ltda.,2
159,11274775000171,vbi real estate gestão,2
160,11274775000171,vbi real estate gestão de carteiras ltda,14
161,11274775000171,vbi real estate gestão de carteiras ltda.,7
162,11304223000169,suno gestora de recursos ltda,1
163,11304223000169,suno gestora de recursos ltda.,1
164,11392069000124,v8 capital gestão de investimentos ltda,2
165,11397672000107,brasil plural gestao de recursos ltda,5
166,11397672000107,brasil plural gestão de recursos ltda.,2
167,11397672000107,brpp gestão de produtos estruturados ltda.,2
168,11397672000107,genial gestão ltda,1
169,11397672000107,plural gestao de recursos ltda,3
170,11397672000280,brasil plural gestão de recursos ltda.,2
171,11401701000159,laplace investimentos e gestao de recursos ltda,2
172,11401701000159,laplace investimentos e gestão de recursos ltda,2
173,11471792000107,prologis logística ltda,1
174,11502768000180,mint capital gestora de recursos ltda,1
175,11502768000180,mint capital gestora de recursos ltda.,1
176,11504852000132,nova s.r.m. administração derecursos e finanças s.a,1
177,11886095000109,tmj capital gestão de recursos ltda,2
178,11916849000126,ouro preto gestão de recursos s.a,7
179,11916849000126,ouro preto gestão de recursos s.a.,2
180,11916849000126,ouro preto gestão de recursos s/a,1
181,11916849000126,ouro preto investimentos,2
182,12063256000127,monetar distribuidora de títulos e valores mobiliários ltda,1
183,12160857000158,cultinvest asset management ltda,1
184,12209584000199,riza gestora de recursos ltda,3
185,12209584000199,riza gestora de recursos ltda.,2
186,12417157000104,paramis br investimentos ltda.,2
187,12461756000117,patria investimentos ltda,1
188,12461756000117,pátria investimentos ltda.,4
189,12620044000101,vectis gestão de recursos ltda,3
190,12678380000105,vcm gestao de capital ltda,3
191,12678380000105,vcm gestão de capital ltda,2
192,12678380000105,veritas capital management,2
193,12695840000103,julius baer family office brasil gestão de patrimônio ltda,3
194,13189560000188,ai real estate administradora de valoresmobiliários ltda.,2
195,13189560000188,"ai real estate administradora de valoresmobiliários ltda.,",2
196,13194316000103,a tc consultoria e administração de investimentos ltda,4
197,13194316000103,tc consultoria e administracao de investimentos ltda,4
198,13194316000103,tc consultoria e administração de investimentos ltda,8
199,13194316000103,tg core asset ltda,9
200,13194316000103,tg core asset ltda.,2
201,13293225000125,órama distribuidora de títulos e valores mobiliários s/a.,5
202,13362610000187,trx gestora de recursos ltda,1
203,13362610000187,trx gestora de recursos ltda.,5
204,13486793000142,brl trust dtvm s.a.,95
205,13486793000142,brl trust dtvm s/a,8
206,13486793000142,vbi,1
207,13516035000120,jpp capital gestao de recursos ltda.,1
208,13516035000120,jpp capital gestâo de recursos ltda,1
209,13516035000120,jpp capital gestão de recursos ltda,1
210,13516035000120,jpp capital gestão de recursos ltda.,11
211,13557425000148,apuama capital gestora de recursos ltda,1
212,13601663000103,v2 investimentos ltda,3
213,13601663000103,v2 investimentos ltda.,3
214,13673855000125,fram capital d.t.v.m. s.a.,1
215,13673855000125,fram capital dtvm s.a.,6
216,13741074000120,versal finance gestão de recursos ltda,1
217,13838015000175,vinci real estate gestora de recursos ltda,15
218,13838015000175,vinci real estate gestora de recursos ltda.,14
219,13966641000147,jive asset gestao de recursos ltda,2
220,13966641000147,jive asset gestão de recursos ltda,12
221,13966641000147,jive asset gestão de recursos ltda.,1
222,13966641000147,jive asset gestão de recusos ltda.,3
223,14084509000174,quasar asset management ltda,2
224,14084509000174,quasar asset management ltda.,1
225,14205023000147,hix investimentos ltda,1
226,14283986000169,fram capital gestão de ativos,2
227,14744231000114,brei - brazilian real estate investments ltda,1
228,14744231000114,brei - brazilian real estate investments ltda.,1
229,14744231000114,brei brazilian real estate investments,1
230,14841289000186,northwest gestão de recursos e investimentos,1
231,15040228000182,nch brasil gestora de recursos ltda.,4
232,15050378000177,brio investimentos ltda,3
233,15050378000177,brio investimentos ltda.,2
234,15300931000182,treecorp partners gestora ltda.,1
235,15377863000150,canvas capital s/a,1
236,15403817000188,graphen investimentos ltda,6
237,15489568000195,intrader dtvm ltda,1
238,15632652000116,mérito investimentos s.a.,10
239,16492426000140,cvpar investimentos ltda,9
240,16492426000140,valer investimentos ltda,3
241,16683062000185,mercantil do brasil corretora s.a. ctvm,3
242,16683062000185,mercantil do brasil corretora s.a.ctvm,3
243,16789525000198,trx gestora de recursos ltda.,2
244,16789525000198,vista investimentos imobiliários  ltda.,2
245,16789525000198,vista investimentos imobiliários ltda,1
246,16789525000198,xp vista asset management ltda,15
247,16789525000198,xp vista asset management ltda.,17
248,16789525000198,xp vista asset managment ltda,1
249,16789525000198,xp vista asset managment ltda.,1
250,16995968000135,genesis capital gestora de recursos ltda.,1
251,16995968000135,genesis gestora de recursos ltda,2
252,17036001000199,genial gestão ltda,3
253,17036001000199,leste financial services gestão de recursos ltda,5
254,17054901000169,barigui gestão de recursos ltda,4
255,17232615000146,inx administradora e gestora de recursos ltda,3
256,17254708000171,solis investimentos ltda,3
257,17415310000170,bresco gestão e consultoria ltda.,9
258,17482086000139,mogno capital investimentos ltda,6
259,17482086000139,mogno capital investimntos ltda,3
260,17707098000114,quadra gestão de recursos s.a.,1
261,17839430000102,sequoia fundos de investimentos ltda.,1
262,17839430000102,sequóia fundos de investimentos ltda.,2
263,17967948000113,ulbrex asset management ltda,14
264,18038439000179,m8 partners gestora de recursos ltda,2
265,18259351000187,rbr gestão de recursos ltda,18
266,18259351000187,rbr gestão de recursos ltda.,21
267,18313996000150,paraty capital ltda,3
268,18313996000150,paraty capital ltda.,2
269,18606232000153,reag asset management ltda,2
270,18606232000153,reag gestora de recursos ltda,6
271,18606232000153,reag gestora de recursos ltda.,18
272,18606232000153,reag gestora de recursos s.a,2
273,18606232000153,reag investimentos de recursos ltda,6
